Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails
fastq_qc | Int-01_S42_L005_R1_001	49.0	91.26436355509792	124241212.0	151	151.0	36.36363636363637
fastq_qc | Int-01_S42_L005_R2_001	50.0	91.67025110934587	124241212.0	151	151.0	45.45454545454545
fastq_qc | Int-02_S43_L005_R1_001	50.0	92.7129884711209	157425190.0	151	151.0	45.45454545454545
fastq_qc | Int-02_S43_L005_R2_001	51.0	92.96557353005024	157425190.0	151	151.0	45.45454545454545
fastq_qc | Int-03_S44_L005_R1_001	49.0	86.20929242959802	135259783.0	151	151.0	36.36363636363637
fastq_trimmed_qc | Int_01_1	48.0	82.64667557701543	29554842.0	151	141.4906044498563	36.36363636363637
fastq_trimmed_qc | Int_01_2	49.0	83.4768307424145	29554842.0	151	143.83261757921088	36.36363636363637
fastq_trimmed_qc | Int_02_1	49.0	92.78187313733766	157425190.0	151	140.28548960938207	45.45454545454545
fastq_trimmed_qc | Int_02_2	51.0	93.01852213284127	157425190.0	151	145.6784856667475	45.45454545454545
fastq_trimmed_qc | Int_03_1	48.0	86.23380877520424	135259783.0	151	142.86169303554183	54.54545454545454
fastq_trimmed_qc | Int_03_2	50.0	87.33385579923225	135259783.0	151	145.38342584062846	45.45454545454545
