Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length
qc_snake | Int-01_S42_L005_R1_001	45.45454545454545	48.0	91.30644840384575	151	124241212.0	141.2168972965267
qc_snake | Int-01_S42_L005_R2_001	45.45454545454545	49.0	91.70750083548992	151	124241212.0	143.71421556962918
qc_snake | Int-02_S43_L005_R1_001	45.45454545454545	49.0	92.78187313733766	151	157425190.0	140.28548960938207
qc_snake | Int-02_S43_L005_R2_001	45.45454545454545	51.0	93.01852213284127	151	157425190.0	145.6784856667475
qc_snake | Int-03_S44_L005_R1_001	54.54545454545454	48.0	86.23380877520424	151	135259783.0	142.86169303554183
qc_snake | Int-03_S44_L005_R2_001	45.45454545454545	50.0	87.33385579923225	151	135259783.0	145.38342584062846
qc_snake | Int-04_S45_L005_R1_001	54.54545454545454	48.0	86.17450664603146	151	179662246.0	138.05356784307372
qc_snake | Int-04_S45_L005_R2_001	45.45454545454545	50.0	87.87966297282595	151	179662246.0	141.96558279138958
qc_snake | Liv-01_S38_L005_R1_001	54.54545454545454	48.0	85.27008391708804	151	201832955.0	137.68082452640104
qc_snake | Liv-01_S38_L005_R2_001	54.54545454545454	50.0	87.17256905014432	151	201832955.0	140.4182315420195
qc_snake | Liv-02_S39_L005_R1_001	45.45454545454545	49.0	94.37016884283783	151	147599477.0	129.13873217857
qc_snake | Liv-02_S39_L005_R2_001	54.54545454545454	53.0	94.29533381660467	151	147599477.0	140.08133389930643
qc_snake | Liv-03_S40_L005_R1_001	45.45454545454545	48.0	83.31838810351181	151	204480045.0	146.6409465138762
qc_snake | Liv-03_S40_L005_R2_001	54.54545454545454	49.0	85.28239195882276	151	204480045.0	146.8471262318042
qc_snake | Liv-04_S41_L005_R1_001	54.54545454545454	48.0	87.60917260926037	151	134662299.0	141.40607189544565
qc_snake | Liv-04_S41_L005_R2_001	45.45454545454545	49.0	88.42426870105035	151	134662299.0	144.53529801982663
