Sample	FastQC_mqc-generalstats-fastqc-median_sequence_length	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates	STAR_mqc-generalstats-star-uniquely_mapped_percent	FastQC_mqc-generalstats-fastqc-percent_gc
alignment_sub_2 | star |		4995748.0						4.01	
counting_sub_2 | logs_sub |				0.342203					
fastq_qc_sub | Int-01_S42_L005_R1_001	151		12421987.0		36.36363636363637	151.0	73.15821097531398		49.0
fastq_qc_sub | Int-01_S42_L005_R2_001	151		12421987.0		45.45454545454545	151.0	74.4516759037079		50.0
fastq_qc_sub | Int-02_S43_L005_R1_001	151		15738415.0		45.45454545454545	151.0	68.19962108276289		50.0
fastq_qc_sub | Int-02_S43_L005_R2_001	151		15738415.0		45.45454545454545	151.0	70.49757372103419		51.0
fastq_qc_sub | Int-03_S44_L005_R1_001	151		13521806.0		36.36363636363637	151.0	56.984115785930044		49.0
fastq_qc_sub | Int-03_S44_L005_R2_001	151		13521806.0		45.45454545454545	151.0	60.480094805253145		50.0
fastq_qc_sub | Int-04_S45_L005_R1_001	151		17961443.0		36.36363636363637	151.0	58.44512738901909		49.0
fastq_qc_sub | Int-04_S45_L005_R2_001	151		17961443.0		45.45454545454545	151.0	62.028688620825605		50.0
fastq_qc_sub | Liv-01_S38_L005_R1_001	151		20176743.0		45.45454545454545	151.0	60.54877132695965		49.0
fastq_qc_sub | Liv-01_S38_L005_R2_001	151		20176743.0		54.54545454545454	151.0	64.06773166971985		50.0
fastq_qc_sub | Liv-02_S39_L005_R1_001	151		14755790.0		36.36363636363637	151.0	76.03564103010457		52.0
fastq_qc_sub | Liv-02_S39_L005_R2_001	151		14755790.0		54.54545454545454	151.0	77.04462386226162		53.0
fastq_qc_sub | Liv-03_S40_L005_R1_001	151		20441278.0		45.45454545454545	151.0	58.64546286014226		48.0
fastq_qc_sub | Liv-03_S40_L005_R2_001	151		20441278.0		54.54545454545454	151.0	61.94559077039338		49.0
fastq_qc_sub | Liv-04_S41_L005_R1_001	151		13461820.0		36.36363636363637	151.0	57.4439038274358		48.0
fastq_qc_sub | Liv-04_S41_L005_R2_001	151		13461820.0		45.45454545454545	151.0	60.377076615581636		49.0
fastq_trimmed_qc_sub | Int_01_1	141		12168802.0		36.36363636363637	133.40066803617972	74.9934871634203		48.0
fastq_trimmed_qc_sub | Int_01_2	141		12168802.0		18.181818181818183	133.53833491579533	74.79063887834909		48.0
fastq_trimmed_qc_sub | Int_02_1	141		15058640.0		36.36363636363637	135.46629941349286	70.25897137863676		48.0
fastq_trimmed_qc_sub | Int_02_2	141		15058640.0		27.27272727272727	135.60721027928153	70.07323530395223		49.0
fastq_trimmed_qc_sub | Int_03_1	141		13203535.0		27.27272727272727	135.0693586982577	60.98025268960878		48.0
fastq_trimmed_qc_sub | Int_03_2	141		13203535.0		27.27272727272727	135.22958298667743	60.65701958347072		48.0
fastq_trimmed_qc_sub | Int_04_1	141		17401148.0		27.27272727272727	131.75306347604192	62.04374445901256		47.0
fastq_trimmed_qc_sub | Int_04_2	141		17401148.0		27.27272727272727	131.98175706568324	62.07456567008937		48.0
fastq_trimmed_qc_sub | Liv_01_1	141		19736635.0		27.27272727272727	130.00806175926138	64.72542827388773		48.0
fastq_trimmed_qc_sub | Liv_01_2	141		19736635.0		36.36363636363637	130.31327194326693	64.67151960147838		48.0
fastq_trimmed_qc_sub | Liv_02_1	141		13632626.0		36.36363636363637	129.49945006926765	76.21381648575205		48.0
fastq_trimmed_qc_sub | Liv_02_2	141		13632626.0		18.181818181818183	129.84908828277105	75.83992652159398		49.0
fastq_trimmed_qc_sub | Liv_03_1	141		20186446.0		27.27272727272727	136.56298017986921	63.355774806427874		48.0
fastq_trimmed_qc_sub | Liv_03_2	141		20186446.0		36.36363636363637	136.63798015757703	62.564811130007506		48.0
fastq_trimmed_qc_sub | Liv_04_1	141		13116682.0		27.27272727272727	134.17092668709967	60.73333761116651		47.0
fastq_trimmed_qc_sub | Liv_04_2	141		13116682.0		27.27272727272727	134.36751489439175	60.55069731170772		48.0
