"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_000030",2.58411291871707,1.32332214395358,2.99306309508435,2.67711666958055,2.75948036268294,1.32332214395358,3.4362340023329,2.94163939369821
"Smp_000190",2.22855452394533,2.82045453237948,1.32332214395358,2.50585165654037,1.32332214395358,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_000240",2.58411291871707,1.32332214395358,1.32332214395358,2.29749697177249,3.28468657367714,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_000320",2.22855452394533,1.32332214395358,1.32332214395358,2.29749697177249,1.32332214395358,2.32280028561463,3.4362340023329,2.28927573067397
"Smp_000370",2.22855452394533,1.32332214395358,1.32332214395358,1.32332214395358,2.75948036268294,2.86152778471089,1.32332214395358,2.28927573067397
"Smp_000480",2.58411291871707,1.32332214395358,2.787746359141,3.36783386666629,2.75948036268294,1.32332214395358,1.32332214395358,2.49603713596772
"Smp_000600",2.22855452394533,1.32332214395358,1.32332214395358,2.67711666958055,2.75948036268294,1.32332214395358,1.32332214395358,2.66605639811747
"Smp_000640",2.22855452394533,1.32332214395358,1.32332214395358,1.32332214395358,2.75948036268294,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_000820",2.22855452394533,2.82045453237948,1.32332214395358,2.29749697177249,1.32332214395358,2.32280028561463,1.32332214395358,2.28927573067397
"Smp_001090",1.96857861100887,1.32332214395358,3.16787394426628,2.29749697177249,3.28468657367714,2.32280028561463,1.32332214395358,2.28927573067397
"Smp_001170",2.58411291871707,1.32332214395358,2.53508239324987,2.67711666958055,2.75948036268294,1.32332214395358,1.32332214395358,2.66605639811747
"Smp_001360",2.84548596773908,1.32332214395358,1.32332214395358,2.01858193803416,2.3589153606473,1.32332214395358,1.32332214395358,2.28927573067397
"Smp_001500",2.22855452394533,1.32332214395358,2.99306309508435,2.67711666958055,3.94139344729849,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_001610",3.53484642872869,2.82045453237948,2.787746359141,3.53279929408616,1.32332214395358,2.86152778471089,4.12451406499181,2.49603713596772
"Smp_001830",2.58411291871707,1.32332214395358,2.53508239324987,2.29749697177249,1.32332214395358,2.71110580789971,1.32332214395358,1.32332214395358
"Smp_002010",1.32332214395358,3.12161614199468,2.19237669628453,2.29749697177249,3.05072884882398,2.53603444478617,1.32332214395358,2.49603713596772
"Smp_002080",2.58411291871707,1.32332214395358,2.99306309508435,2.95458419551322,3.65323019884879,2.71110580789971,1.32332214395358,3.91346369724289
"Smp_002180",2.58411291871707,1.32332214395358,2.53508239324987,2.67711666958055,2.75948036268294,2.32280028561463,1.32332214395358,1.32332214395358
"Smp_002410",2.84548596773908,1.32332214395358,2.53508239324987,1.32332214395358,3.94139344729849,1.32332214395358,1.32332214395358,2.94163939369821
"Smp_002630",2.42343037872152,2.82045453237948,2.787746359141,2.67711666958055,1.32332214395358,2.99431447354255,1.32332214395358,2.66605639811747
"Smp_003250",2.58411291871707,2.82045453237948,2.99306309508435,3.36783386666629,2.75948036268294,2.53603444478617,4.12451406499181,2.0126097154199
"Smp_003410",2.84548596773908,1.32332214395358,1.32332214395358,2.95458419551322,1.32332214395358,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_003660",1.32332214395358,1.32332214395358,3.32094489093741,2.67711666958055,3.65323019884879,2.71110580789971,1.32332214395358,2.94163939369821
"Smp_003930",2.42343037872152,1.32332214395358,2.19237669628453,2.95458419551322,1.32332214395358,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_003980",2.22855452394533,1.32332214395358,2.99306309508435,2.29749697177249,1.32332214395358,2.32280028561463,1.32332214395358,3.16408874501742
"Smp_003990",3.05735342553861,3.36276872371599,2.99306309508435,2.67711666958055,3.65323019884879,3.41508780103205,1.32332214395358,1.32332214395358
"Smp_004080",2.58411291871707,2.40461259395402,1.32332214395358,2.01858193803416,1.32332214395358,2.32280028561463,1.32332214395358,3.16408874501742
"Smp_004220",3.05735342553861,1.32332214395358,3.32094489093741,2.95458419551322,3.65323019884879,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_004310",2.22855452394533,1.32332214395358,1.32332214395358,2.67711666958055,2.75948036268294,2.32280028561463,1.32332214395358,1.32332214395358
"Smp_004550",1.96857861100887,2.82045453237948,2.787746359141,2.29749697177249,1.32332214395358,1.32332214395358,1.32332214395358,2.28927573067397
"Smp_004600",2.22855452394533,2.82045453237948,2.99306309508435,1.32332214395358,2.75948036268294,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_004680",1.32332214395358,1.32332214395358,2.99306309508435,2.29749697177249,2.75948036268294,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_004780",2.58411291871707,1.32332214395358,2.53508239324987,2.29749697177249,3.28468657367714,2.32280028561463,3.4362340023329,2.66605639811747
"Smp_004820",2.22855452394533,1.32332214395358,1.32332214395358,2.29749697177249,3.28468657367714,2.32280028561463,1.32332214395358,1.32332214395358
"Smp_004910",1.32332214395358,1.32332214395358,2.53508239324987,1.32332214395358,3.65323019884879,2.32280028561463,1.32332214395358,2.28927573067397
"Smp_004990",3.66148424776405,1.32332214395358,2.53508239324987,3.36783386666629,3.65323019884879,3.22238683125624,3.4362340023329,3.16408874501742
