88812
0	356	0
0	367	0
39578	39802	368
41992	42275	593
47672	47759	877
0	367	0
2517	2741	368
3473	3756	593
37179	37446	877
39578	39802	1145
41992	42275	1370
47672	47759	1654
0	81	0
5479	5762	82
7954	8178	366
10311	10782	591
0	80	0
5478	5761	81
32018	32242	365
34384	34671	590
0	79	0
31003	31286	80
32017	32241	364
34383	34807	589
0	16013	0
0	343	0
384	448	344
490	611	409
1019	1060	531
0	359	0
1322	1470	360
2300	2377	509
3298	3364	587
4061	4125	654
5014	5064	719
6009	6107	770
6402	6471	869
6529	6618	939
6658	6802	1029
6886	6923	1174
0	34	0
120	258	35
298	387	174
445	514	264
809	907	334
1852	1902	433
2791	2855	484
5884	5950	549
6871	6948	616
7778	7926	694
8889	9330	843
0	27	0
111	255	28
293	385	173
443	512	266
780	878	336
1935	1985	435
2964	3028	486
3723	3789	551
5545	5622	618
6494	6642	696
7433	7510	845
7609	7948	923
0	27	0
111	255	28
293	385	173
443	512	266
791	883	336
1935	1985	429
2964	3028	480
3722	3788	545
5565	5642	612
6524	6672	690
7419	7499	839
7598	7939	920
0	3345	0
0	85	0
983	1033	86
2039	2137	137
2432	2501	236
2559	2648	306
2688	2834	396
0	163	0
1313	1408	164
2372	2423	260
3004	3809	312
0	203	0
851	905	204
947	1063	259
2401	2466	376
3300	4379	442
0	2656	0
5618	5931	2657
13476	13518	2971
14515	14633	3014
15442	15527	3133
19025	19197	3219
20675	32898	3392
0	658	0
2315	2656	659
5618	5931	1001
13476	13518	1315
14515	14633	1358
15442	15527	1477
19025	19197	1563
20675	32898	1736
0	2656	0
5618	5931	2657
13476	13518	2971
14515	14633	3014
15442	15527	3133
19025	19197	3219
20675	32898	3392
0	32	0
116	260	33
298	390	178
448	517	271
791	889	341
1945	1995	440
2475	2539	491
3233	3299	556
5074	5154	623
5869	6017	704
6974	7319	853
0	170	0
1936	2015	171
2893	3021	251
3140	3241	380
4721	4804	482
6967	7116	566
10838	11052	716
11892	12061	931
15559	15644	1101
16453	16571	1187
17561	17603	1306
20096	20409	1349
26717	27058	1663
28722	28794	2005
28827	28928	2078
28960	29074	2180
29109	29191	2295
29232	29477	2378
0	41	0
5692	5951	42
5985	6080	302
6118	6241	398
6275	6320	522
6354	6531	568
6562	6810	746
7649	7714	995
9053	9169	1061
9211	9265	1178
9913	9987	1233
11799	11989	1308
12034	12109	1499
12148	12351	1575
0	368	0
5081	5112	369
5503	6143	401
18880	20701	1042
0	108	0
2918	3030	109
9069	9432	222
0	26	0
110	256	27
294	386	174
444	513	267
786	884	337
1935	1985	436
2969	3033	487
3728	3794	552
5536	5616	619
6497	6645	700
7422	7550	849
7601	7952	978
0	134	0
0	213	0
268	398	214
439	520	345
1175	1263	427
1370	1819	516
0	965	0
0	27	0
111	255	28
292	381	173
439	508	263
896	976	333
2031	2081	414
2915	2979	465
3673	3739	530
4452	4529	597
5779	5927	675
6707	6805	824
6997	7095	923
7287	7385	1022
7577	7675	1121
7868	7996	1220
8047	8341	1349
0	275	0
0	523	0
2630	2917	524
6026	6168	812
6209	6294	955
0	276	0
310	429	277
1938	2531	397
2824	3052	991
0	15415	0
0	438	0
3883	4196	439
7651	7743	753
18344	18474	846
21381	21440	977
24850	25012	1037
28005	28175	1200
36736	36860	1371
39101	39202	1496
41980	42274	1598
43883	45356	1893
0	195	0
3565	3804	196
4029	6422	436
0	13792	0
17462	18498	13793
27458	28276	14830
31786	31926	15649
33908	34009	15790
41251	41529	15892
46925	47260	16171
50867	51313	16507
53875	54594	16954
0	555	0
2942	3199	556
4663	5661	814
7717	8353	1813
0	591	0
1743	2019	592
3760	3859	869
6761	6907	969
9392	9685	1116
11846	13338	1410
14917	15505	2903
17171	17216	3492
19141	19170	3538
0	293	0
1721	1890	294
1925	2014	464
4143	4355	554
8726	8809	767
14002	14314	851
15088	15212	1164
21452	21689	1289
23579	23814	1527
0	2622	0
2667	2809	2623
2845	3001	2766
3037	3163	2923
5783	5893	3050
7141	7620	3161
0	118	0
12058	12245	119
14638	15570	307
19449	19490	1240
32080	32231	1282
40846	41594	1434
0	205	0
2848	2916	206
4939	5165	275
7298	7492	502
8501	8612	697
8648	8715	809
8755	8862	877
8911	8970	985
9006	9136	1045
0	47	0
83	180	48
214	350	146
386	497	283
532	621	395
1876	2025	485
0	550	0
5467	5478	551
7453	7641	563
9013	9220	752
10637	10816	960
12724	13145	1140
15023	15262	1562
16271	16574	1802
20663	20814	2106
24074	24232	2258
30418	30495	2417
33101	33241	2495
34232	36801	2636
0	550	0
7453	7641	551
9013	9220	740
10637	10816	948
12724	13145	1128
15023	15262	1550
16271	16574	1790
20663	20814	2094
24074	24232	2246
30418	30495	2405
33101	33241	2483
34232	36801	2624
0	84	0
119	217	85
257	377	184
409	483	305
519	585	380
4285	4651	447
0	572	0
3828	4097	573
5996	6679	843
7459	7937	1527
13298	13851	2006
18619	18743	2560
