Sample	per_base_sequence_content	overrepresented_sequences	total_deduplicated_percentage	File type	avg_sequence_length	per_base_n_content	adapter_content	median_sequence_length	per_sequence_quality_scores	%GC	sequence_duplication_levels	Encoding	per_tile_sequence_quality	per_sequence_gc_content	Sequence length	Sequences flagged as poor quality	Filename	per_base_sequence_quality	Total Bases	sequence_length_distribution	basic_statistics	Total Sequences
fastq_qc_sub | Int-01_S42_L005_R1_001	warn	warn	26.841789024686026	Conventional base calls	151.0	pass	fail	151	pass	49.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Int-01_S42_L005_R1_001.fastq.gz	pass	1.8 Gbp	pass	pass	12421987.0
fastq_qc_sub | Int-01_S42_L005_R2_001	warn	fail	25.548324096292102	Conventional base calls	151.0	pass	fail	151	pass	50.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Int-01_S42_L005_R2_001.fastq.gz	pass	1.8 Gbp	pass	pass	12421987.0
fastq_qc_sub | Int-02_S43_L005_R1_001	warn	fail	31.800378917237104	Conventional base calls	151.0	pass	fail	151	pass	50.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Int-02_S43_L005_R1_001.fastq.gz	pass	2.3 Gbp	pass	pass	15738415.0
fastq_qc_sub | Int-02_S43_L005_R2_001	warn	fail	29.50242627896581	Conventional base calls	151.0	pass	fail	151	pass	51.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Int-02_S43_L005_R2_001.fastq.gz	pass	2.3 Gbp	pass	pass	15738415.0
fastq_qc_sub | Int-03_S44_L005_R1_001	warn	warn	43.015884214069956	Conventional base calls	151.0	pass	fail	151	pass	49.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Int-03_S44_L005_R1_001.fastq.gz	pass	2 Gbp	pass	pass	13521806.0
fastq_qc_sub | Int-03_S44_L005_R2_001	warn	fail	39.519905194746855	Conventional base calls	151.0	pass	fail	151	pass	50.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Int-03_S44_L005_R2_001.fastq.gz	pass	2 Gbp	pass	pass	13521806.0
fastq_qc_sub | Int-04_S45_L005_R1_001	warn	warn	41.55487261098091	Conventional base calls	151.0	pass	fail	151	pass	49.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Int-04_S45_L005_R1_001.fastq.gz	pass	2.7 Gbp	pass	pass	17961443.0
fastq_qc_sub | Int-04_S45_L005_R2_001	warn	fail	37.971311379174395	Conventional base calls	151.0	pass	fail	151	pass	50.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Int-04_S45_L005_R2_001.fastq.gz	pass	2.7 Gbp	pass	pass	17961443.0
fastq_qc_sub | Liv-01_S38_L005_R1_001	warn	fail	39.45122867304035	Conventional base calls	151.0	pass	fail	151	pass	49.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Liv-01_S38_L005_R1_001.fastq.gz	pass	3 Gbp	pass	pass	20176743.0
fastq_qc_sub | Liv-01_S38_L005_R2_001	fail	fail	35.932268330280145	Conventional base calls	151.0	pass	fail	151	pass	50.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Liv-01_S38_L005_R2_001.fastq.gz	pass	3 Gbp	pass	pass	20176743.0
fastq_qc_sub | Liv-02_S39_L005_R1_001	warn	fail	23.96435896989543	Conventional base calls	151.0	pass	fail	151	pass	52.0	fail	Sanger / Illumina 1.9	fail	warn	151.0	0.0	Liv-02_S39_L005_R1_001.fastq.gz	pass	2.2 Gbp	pass	pass	14755790.0
fastq_qc_sub | Liv-02_S39_L005_R2_001	fail	fail	22.95537613773838	Conventional base calls	151.0	pass	fail	151	pass	53.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Liv-02_S39_L005_R2_001.fastq.gz	pass	2.2 Gbp	pass	pass	14755790.0
fastq_qc_sub | Liv-03_S40_L005_R1_001	fail	warn	41.35453713985774	Conventional base calls	151.0	pass	fail	151	pass	48.0	fail	Sanger / Illumina 1.9	fail	fail	151.0	0.0	Liv-03_S40_L005_R1_001.fastq.gz	pass	3 Gbp	pass	pass	20441278.0
