Sample	FastQC_mqc-generalstats-fastqc-total_sequences	QualiMap_mqc-generalstats-qualimap-regions_mapped_reads	FastQC_mqc-generalstats-fastqc-median_sequence_length	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-1_x_pc	STAR_mqc-generalstats-star-uniquely_mapped_percent	QualiMap_mqc-generalstats-qualimap-median_coverage	FastQC_mqc-generalstats-fastqc-avg_sequence_length	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-percentage_aligned_on_target	FastQC_mqc-generalstats-fastqc-percent_duplicates	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-regions_size	QualiMap_mqc-generalstats-qualimap-5_3_bias	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped	QualiMap_mqc-generalstats-qualimap-10_x_pc
.									3.83																4764788.0	
alignment_sub | star |									3.83																4764788.0	
alignment_sub_2 | star |									4.01																4995748.0	
fastq_qc_sub | Int-01_S42_L005_R1_001	12421987.0		151								151.0				73.15821097531398				49.0	36.36363636363637						
fastq_qc_sub | Int-01_S42_L005_R2_001	12421987.0		151								151.0				74.4516759037079				50.0	45.45454545454545						
fastq_qc_sub | Int-02_S43_L005_R1_001	15738415.0		151								151.0				68.19962108276289				50.0	45.45454545454545						
fastq_qc_sub | Int-02_S43_L005_R2_001	15738415.0		151								151.0				70.49757372103419				51.0	45.45454545454545						
fastq_qc_sub | Int-03_S44_L005_R1_001	13521806.0		151								151.0				56.984115785930044				49.0	36.36363636363637						
fastq_qc_sub | Int-03_S44_L005_R2_001	13521806.0		151								151.0				60.480094805253145				50.0	45.45454545454545						
fastq_qc_sub | Int-04_S45_L005_R1_001	17961443.0		151								151.0				58.44512738901909				49.0	36.36363636363637						
fastq_qc_sub | Int-04_S45_L005_R2_001	17961443.0		151								151.0				62.028688620825605				50.0	45.45454545454545						
fastq_qc_sub | Liv-01_S38_L005_R1_001	20176743.0		151								151.0				60.54877132695965				49.0	45.45454545454545						
fastq_qc_sub | Liv-01_S38_L005_R2_001	20176743.0		151								151.0				64.06773166971985				50.0	54.54545454545454						
fastq_qc_sub | Liv-02_S39_L005_R1_001	14755790.0		151								151.0				76.03564103010457				52.0	36.36363636363637						
fastq_qc_sub | Liv-02_S39_L005_R2_001	14755790.0		151								151.0				77.04462386226162				53.0	54.54545454545454						
fastq_qc_sub | Liv-03_S40_L005_R1_001	20441278.0		151								151.0				58.64546286014226				48.0	45.45454545454545						
fastq_qc_sub | Liv-03_S40_L005_R2_001	20441278.0		151								151.0				61.94559077039338				49.0	54.54545454545454						
fastq_qc_sub | Liv-04_S41_L005_R1_001	13461820.0		151								151.0				57.4439038274358				48.0	36.36363636363637						
fastq_qc_sub | Liv-04_S41_L005_R2_001	13461820.0		151								151.0				60.377076615581636				49.0	45.45454545454545						
fastq_trimmed_qc_sub | Int_01_1	12168802.0		141								133.40066803617972				74.9934871634203				48.0	36.36363636363637						
