Module	Section	Sample Name	Source
QualiMap	genome_results	qualimap | star | bam |	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap/star/bam/genome_results.txt
QualiMap	genome_results	qualimap_2 | star | bam |	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap_2/star/bam/genome_results.txt
QualiMap	coverage_histogram	qualimap | star | bam | raw_data_qualimapReport | bam	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap/star/bam/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	qualimap_2 | star | bam | raw_data_qualimapReport | bam	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap_2/star/bam/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	qualimap | star | bam | raw_data_qualimapReport | bam	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap/star/bam/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	qualimap_2 | star | bam | raw_data_qualimapReport | bam	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap_2/star/bam/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	qualimap | star | bam | raw_data_qualimapReport | bam	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap/star/bam/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	qualimap_2 | star | bam | raw_data_qualimapReport | bam	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap_2/star/bam/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	rna_genome_results	qualimap | star | rnaseq |	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap/star/rnaseq/rnaseq_qc_results.txt
QualiMap	rna_genome_results	qualimap_2 | star | rnaseq |	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap_2/star/rnaseq/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	qualimap | star | rnaseq | raw_data_qualimapReport | rnaseq	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap/star/rnaseq/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	qualimap_2 | star | rnaseq | raw_data_qualimapReport | rnaseq	/data/users/mccallke0364/Final_Project/Sm_Mira_IvT/subfiles/qualimap_2/star/rnaseq/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
