Sample	avg_sequence_length	per_sequence_gc_content	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	Total Bases	Encoding	File type	per_base_sequence_content	Filename	Total Sequences	total_deduplicated_percentage	sequence_duplication_levels	overrepresented_sequences	basic_statistics	%GC	sequence_length_distribution	adapter_content	per_base_sequence_quality	per_tile_sequence_quality	Sequences flagged as poor quality
fastq_qc_sub | Int-01_S42_L005_R1_001	151.0	fail	pass	pass	151.0	151	1.8 Gbp	Sanger / Illumina 1.9	Conventional base calls	warn	Int-01_S42_L005_R1_001.fastq.gz	12421987.0	26.841789024686026	fail	warn	pass	49.0	pass	fail	pass	fail	0.0
fastq_qc_sub | Int-01_S42_L005_R2_001	151.0	fail	pass	pass	151.0	151	1.8 Gbp	Sanger / Illumina 1.9	Conventional base calls	warn	Int-01_S42_L005_R2_001.fastq.gz	12421987.0	25.548324096292102	fail	fail	pass	50.0	pass	fail	pass	fail	0.0
fastq_qc_sub | Int-02_S43_L005_R1_001	151.0	fail	pass	pass	151.0	151	2.3 Gbp	Sanger / Illumina 1.9	Conventional base calls	warn	Int-02_S43_L005_R1_001.fastq.gz	15738415.0	31.800378917237104	fail	fail	pass	50.0	pass	fail	pass	fail	0.0
fastq_qc_sub | Int-02_S43_L005_R2_001	151.0	fail	pass	pass	151.0	151	2.3 Gbp	Sanger / Illumina 1.9	Conventional base calls	warn	Int-02_S43_L005_R2_001.fastq.gz	15738415.0	29.50242627896581	fail	fail	pass	51.0	pass	fail	pass	fail	0.0
fastq_qc_sub | Int-03_S44_L005_R1_001	151.0	fail	pass	pass	151.0	151	2 Gbp	Sanger / Illumina 1.9	Conventional base calls	warn	Int-03_S44_L005_R1_001.fastq.gz	13521806.0	43.015884214069956	fail	warn	pass	49.0	pass	fail	pass	fail	0.0
fastq_qc_sub | Int-03_S44_L005_R2_001	151.0	fail	pass	pass	151.0	151	2 Gbp	Sanger / Illumina 1.9	Conventional base calls	warn	Int-03_S44_L005_R2_001.fastq.gz	13521806.0	39.519905194746855	fail	fail	pass	50.0	pass	fail	pass	fail	0.0
fastq_qc_sub | Int-04_S45_L005_R1_001	151.0	fail	pass	pass	151.0	151	2.7 Gbp	Sanger / Illumina 1.9	Conventional base calls	warn	Int-04_S45_L005_R1_001.fastq.gz	17961443.0	41.55487261098091	fail	warn	pass	49.0	pass	fail	pass	fail	0.0
fastq_qc_sub | Int-04_S45_L005_R2_001	151.0	fail	pass	pass	151.0	151	2.7 Gbp	Sanger / Illumina 1.9	Conventional base calls	warn	Int-04_S45_L005_R2_001.fastq.gz	17961443.0	37.971311379174395	fail	fail	pass	50.0	pass	fail	pass	fail	0.0
fastq_qc_sub | Liv-01_S38_L005_R1_001	151.0	fail	pass	pass	151.0	151	3 Gbp	Sanger / Illumina 1.9	Conventional base calls	warn	Liv-01_S38_L005_R1_001.fastq.gz	20176743.0	39.45122867304035	fail	fail	pass	49.0	pass	fail	pass	fail	0.0
fastq_qc_sub | Liv-01_S38_L005_R2_001	151.0	fail	pass	pass	151.0	151	3 Gbp	Sanger / Illumina 1.9	Conventional base calls	fail	Liv-01_S38_L005_R2_001.fastq.gz	20176743.0	35.932268330280145	fail	fail	pass	50.0	pass	fail	pass	fail	0.0
