Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_gc
fastq_qc_sub | Int-01_S42_L005_R1_001	36.36363636363637	151	151.0	73.15821097531398	12421987.0	49.0
fastq_qc_sub | Int-01_S42_L005_R2_001	45.45454545454545	151	151.0	74.4516759037079	12421987.0	50.0
fastq_qc_sub | Int-02_S43_L005_R1_001	45.45454545454545	151	151.0	68.19962108276289	15738415.0	50.0
fastq_qc_sub | Int-02_S43_L005_R2_001	45.45454545454545	151	151.0	70.49757372103419	15738415.0	51.0
fastq_qc_sub | Int-03_S44_L005_R1_001	36.36363636363637	151	151.0	56.984115785930044	13521806.0	49.0
fastq_qc_sub | Int-03_S44_L005_R2_001	45.45454545454545	151	151.0	60.480094805253145	13521806.0	50.0
fastq_qc_sub | Int-04_S45_L005_R1_001	36.36363636363637	151	151.0	58.44512738901909	17961443.0	49.0
fastq_qc_sub | Int-04_S45_L005_R2_001	45.45454545454545	151	151.0	62.028688620825605	17961443.0	50.0
fastq_qc_sub | Liv-01_S38_L005_R1_001	45.45454545454545	151	151.0	60.54877132695965	20176743.0	49.0
fastq_qc_sub | Liv-01_S38_L005_R2_001	54.54545454545454	151	151.0	64.06773166971985	20176743.0	50.0
fastq_qc_sub | Liv-02_S39_L005_R1_001	36.36363636363637	151	151.0	76.03564103010457	14755790.0	52.0
fastq_qc_sub | Liv-02_S39_L005_R2_001	54.54545454545454	151	151.0	77.04462386226162	14755790.0	53.0
fastq_qc_sub | Liv-03_S40_L005_R1_001	45.45454545454545	151	151.0	58.64546286014226	20441278.0	48.0
fastq_qc_sub | Liv-03_S40_L005_R2_001	54.54545454545454	151	151.0	61.94559077039338	20441278.0	49.0
fastq_qc_sub | Liv-04_S41_L005_R1_001	36.36363636363637	151	151.0	57.4439038274358	13461820.0	48.0
fastq_qc_sub | Liv-04_S41_L005_R2_001	45.45454545454545	151	151.0	60.377076615581636	13461820.0	49.0
fastq_trimmed_qc_sub | Int_01_1	36.36363636363637	141	133.40066803617972	74.9934871634203	12168802.0	48.0
fastq_trimmed_qc_sub | Int_01_2	18.181818181818183	141	133.53833491579533	74.79063887834909	12168802.0	48.0
fastq_trimmed_qc_sub | Int_02_1	36.36363636363637	141	135.46629941349286	70.25897137863676	15058640.0	48.0
fastq_trimmed_qc_sub | Int_02_2	27.27272727272727	141	135.60721027928153	70.07323530395223	15058640.0	49.0
fastq_trimmed_qc_sub | Int_03_1	27.27272727272727	141	135.0693586982577	60.98025268960878	13203535.0	48.0
fastq_trimmed_qc_sub | Int_03_2	27.27272727272727	141	135.22958298667743	60.65701958347072	13203535.0	48.0
fastq_trimmed_qc_sub | Int_04_1	27.27272727272727	141	131.75306347604192	62.04374445901256	17401148.0	47.0
fastq_trimmed_qc_sub | Int_04_2	27.27272727272727	141	131.98175706568324	62.07456567008937	17401148.0	48.0
fastq_trimmed_qc_sub | Liv_01_1	27.27272727272727	141	130.00806175926138	64.72542827388773	19736635.0	48.0
fastq_trimmed_qc_sub | Liv_01_2	36.36363636363637	141	130.31327194326693	64.67151960147838	19736635.0	48.0
fastq_trimmed_qc_sub | Liv_02_1	36.36363636363637	141	129.49945006926765	76.21381648575205	13632626.0	48.0
fastq_trimmed_qc_sub | Liv_02_2	18.181818181818183	141	129.84908828277105	75.83992652159398	13632626.0	49.0
fastq_trimmed_qc_sub | Liv_03_1	27.27272727272727	141	136.56298017986921	63.355774806427874	20186446.0	48.0
fastq_trimmed_qc_sub | Liv_03_2	36.36363636363637	141	136.63798015757703	62.564811130007506	20186446.0	48.0
fastq_trimmed_qc_sub | Liv_04_1	27.27272727272727	141	134.17092668709967	60.73333761116651	13116682.0	47.0
fastq_trimmed_qc_sub | Liv_04_2	27.27272727272727	141	134.36751489439175	60.55069731170772	13116682.0	48.0
