#Duplication rate	Coverage
1.0	1907396.0
2.0	667376.0
3.0	273559.0
4.0	137154.0
5.0	76684.0
6.0	48733.0
7.0	32996.0
8.0	23901.0
9.0	17971.0
10.0	14034.0
11.0	11127.0
12.0	9057.0
13.0	7684.0
14.0	6528.0
15.0	5554.0
16.0	4790.0
17.0	4282.0
18.0	3830.0
19.0	3408.0
20.0	3067.0
21.0	2749.0
22.0	2511.0
23.0	2193.0
24.0	2079.0
25.0	1986.0
26.0	1715.0
27.0	1618.0
28.0	1510.0
29.0	1367.0
30.0	1334.0
31.0	1198.0
32.0	1190.0
33.0	1039.0
34.0	1012.0
35.0	974.0
36.0	903.0
37.0	833.0
38.0	780.0
39.0	762.0
40.0	695.0
41.0	689.0
42.0	622.0
43.0	574.0
44.0	626.0
45.0	579.0
46.0	525.0
47.0	490.0
48.0	489.0
49.0	471.0
50.0	14364.0
