#Coverage (X)	Coverage
1.0	30.55585948225456
2.0	21.516549423659868
3.0	14.834642962766878
4.0	12.094479076395388
5.0	9.919198989367175
6.0	8.734034264523103
7.0	7.774773867486971
8.0	7.122806421860332
9.0	6.586463549347187
10.0	6.166443256523394
11.0	5.813067939799907
12.0	5.513648099038406
13.0	5.248002072671184
14.0	5.01310004137693
15.0	4.803034650122484
16.0	4.613379105654971
17.0	4.438674737140701
18.0	4.27800111746383
19.0	4.12827558441019
20.0	3.991101199193537
21.0	3.8626968126338994
22.0	3.7429019744929235
23.0	3.6308875317424594
24.0	3.5234733030114853
25.0	3.4220519387221344
26.0	3.3256285513186015
27.0	3.2343189147752867
28.0	3.1477665797602583
29.0	3.0653552059866627
30.0	2.987116018800279
31.0	2.9114834274023025
32.0	2.8391424678403183
33.0	2.7703357370316013
34.0	2.704063543521002
35.0	2.640483935597203
36.0	2.5800167740635658
37.0	2.521148830624213
38.0	2.4651838835632844
39.0	2.411437377223109
40.0	2.3601125165462804
41.0	2.309739788721018
42.0	2.2614572375038193
43.0	2.2153513330830066
44.0	2.1707663431970445
45.0	2.127524523569903
46.0	2.08567823670451
47.0	2.044213379447669
48.0	2.0046066704601913
49.0	1.9663724355175702
50.0	1.9292296465077357
51.0	1.893397361241128
