#Insert size (bp)	insert size
15.0	1.0
18.0	1.0
20.0	3.0
21.0	2.0
22.0	4.0
23.0	2.0
24.0	2.0
25.0	1.0
27.0	2.0
28.0	1.0
29.0	1.0
31.0	2.0
32.0	2.0
33.0	2.0
34.0	4.0
35.0	3.0
36.0	2.0
39.0	2.0
40.0	2.0
41.0	6.0
42.0	3.0
44.0	5.0
45.0	3.0
47.0	4.0
48.0	11.0
49.0	12.0
50.0	7.0
51.0	13.0
52.0	24.0
53.0	13.0
54.0	17.0
55.0	22.0
56.0	11.0
57.0	24.0
58.0	10.0
59.0	34.0
60.0	43.0
61.0	85.0
62.0	141.0
63.0	28.0
64.0	16.0
65.0	18.0
66.0	19.0
67.0	33.0
68.0	20.0
69.0	32.0
70.0	34.0
71.0	38.0
72.0	38.0
73.0	45.0
74.0	48.0
75.0	48.0
76.0	50.0
77.0	58.0
78.0	48.0
79.0	47.0
80.0	62.0
81.0	65.0
82.0	83.0
83.0	88.0
84.0	92.0
85.0	84.0
86.0	107.0
87.0	103.0
88.0	128.0
89.0	109.0
90.0	108.0
91.0	123.0
92.0	171.0
93.0	146.0
94.0	131.0
95.0	119.0
96.0	162.0
97.0	146.0
98.0	171.0
99.0	195.0
100.0	153.0
101.0	281.0
102.0	190.0
103.0	184.0
104.0	209.0
105.0	216.0
106.0	221.0
107.0	238.0
108.0	262.0
109.0	258.0
110.0	292.0
111.0	276.0
112.0	275.0
113.0	297.0
114.0	308.0
115.0	316.0
116.0	364.0
117.0	375.0
118.0	425.0
119.0	424.0
120.0	383.0
121.0	400.0
122.0	437.0
123.0	461.0
124.0	407.0
125.0	564.0
126.0	570.0
127.0	530.0
128.0	513.0
129.0	568.0
130.0	584.0
131.0	575.0
132.0	667.0
133.0	710.0
134.0	734.0
135.0	747.0
136.0	769.0
137.0	870.0
138.0	1101.0
139.0	1391.0
140.0	2663.0
141.0	20547.0
142.0	20010.0
143.0	19988.0
144.0	19506.0
145.0	19273.0
146.0	19439.0
147.0	19631.0
148.0	19481.0
149.0	19765.0
150.0	19411.0
151.0	19130.0
152.0	18675.0
