#Mapping quality	mapping quality
0.0	425000.0
1.0	565998.0
2.0	69936.0
3.0	1246683.0
4.0	3024.0
5.0	2513.0
6.0	2835.0
7.0	2553.0
8.0	2221.0
9.0	2288.0
10.0	2091.0
11.0	1983.0
12.0	2606.0
13.0	2541.0
14.0	2112.0
15.0	2981.0
16.0	2474.0
17.0	3027.0
18.0	2841.0
19.0	3240.0
20.0	2436.0
21.0	3363.0
22.0	3801.0
23.0	3160.0
24.0	4488.0
25.0	4750.0
26.0	3802.0
27.0	2870.0
28.0	5305.0
29.0	4606.0
30.0	3465.0
31.0	6294.0
32.0	5760.0
33.0	4060.0
34.0	7212.0
35.0	2783.0
36.0	4516.0
37.0	7905.0
38.0	4058.0
39.0	9059.0
40.0	3492.0
41.0	3447.0
42.0	4081.0
43.0	8432.0
44.0	5053.0
45.0	10099.0
46.0	2574.0
47.0	3906.0
48.0	4264.0
49.0	2296.0
50.0	2353.0
51.0	14366.0
52.0	7045.0
53.0	22787.0
54.0	1979.0
55.0	2548.0
56.0	2512.0
57.0	5280.0
58.0	3125.0
59.0	5163.0
60.0	2269.0
61.0	2783.0
62.0	2045.0
63.0	4905.0
64.0	18425.0
65.0	10668.0
66.0	28054.0
67.0	1628.0
68.0	2114.0
69.0	2432.0
70.0	3253.0
71.0	3903.0
72.0	2357.0
73.0	5686.0
74.0	3515.0
75.0	6100.0
76.0	1766.0
77.0	3561.0
78.0	4066.0
79.0	2269.0
80.0	2745.0
81.0	2206.0
82.0	1786.0
83.0	1511.0
84.0	1168.0
85.0	54236.0
86.0	13389.0
87.0	85722.0
88.0	1200.0
89.0	1407.0
90.0	1674.0
91.0	2362.0
92.0	1546.0
93.0	2856.0
94.0	3317.0
95.0	1960.0
96.0	3615.0
97.0	5758.0
98.0	2098.0
99.0	2681.0
100.0	1341.0
101.0	1333.0
102.0	10645.0
103.0	22529.0
104.0	944.0
105.0	1461.0
106.0	2482.0
107.0	2198.0
108.0	2016.0
109.0	5319.0
110.0	4076.0
111.0	8042.0
112.0	1669.0
113.0	2993.0
114.0	2555.0
115.0	4241.0
116.0	2326.0
117.0	3521.0
118.0	1910.0
119.0	2427.0
120.0	1842.0
121.0	1818.0
122.0	1716.0
123.0	1701.0
124.0	1236.0
125.0	1037.0
126.0	877.0
127.0	27612.0
128.0	83822.0
129.0	196690.0
130.0	706.0
131.0	1120.0
132.0	1324.0
133.0	1263.0
134.0	1775.0
135.0	2201.0
136.0	2135.0
137.0	2374.0
138.0	2341.0
139.0	2312.0
140.0	3106.0
141.0	2172.0
142.0	4150.0
143.0	5316.0
144.0	1704.0
145.0	2652.0
146.0	7140.0
147.0	8359.0
148.0	2062.0
149.0	2463.0
150.0	2899.0
151.0	2245.0
152.0	1400.0
153.0	19020.0
154.0	33557.0
155.0	1317.0
156.0	1979.0
157.0	2930.0
158.0	2481.0
159.0	4190.0
160.0	7901.0
161.0	1560.0
162.0	3247.0
163.0	4667.0
164.0	2350.0
165.0	2714.0
166.0	2441.0
167.0	1925.0
168.0	1310.0
169.0	923.0
170.0	55427.0
171.0	113201.0
172.0	1209.0
173.0	1736.0
174.0	2317.0
175.0	2423.0
176.0	3090.0
177.0	4184.0
178.0	3077.0
179.0	6187.0
180.0	2827.0
181.0	1831.0
182.0	10235.0
183.0	17122.0
184.0	2543.0
185.0	3986.0
186.0	5048.0
187.0	4255.0
188.0	2783.0
189.0	2657.0
190.0	1449.0
191.0	28837.0
192.0	66451.0
193.0	2001.0
194.0	2746.0
195.0	4560.0
196.0	6228.0
197.0	2478.0
198.0	6929.0
199.0	13744.0
200.0	3775.0
201.0	6823.0
202.0	2774.0
203.0	1983.0
204.0	70189.0
205.0	1998.0
206.0	3163.0
207.0	5907.0
208.0	4984.0
209.0	11917.0
210.0	5243.0
211.0	3975.0
212.0	14212.0
213.0	38688.0
214.0	4355.0
215.0	6908.0
216.0	10735.0
217.0	5563.0
218.0	11240.0
219.0	33512.0
220.0	5812.0
221.0	10626.0
222.0	5893.0
223.0	35747.0
224.0	5989.0
225.0	11787.0
226.0	9303.0
227.0	26962.0
228.0	11875.0
229.0	29075.0
230.0	6746.0
231.0	13318.0
232.0	23145.0
233.0	12645.0
234.0	25272.0
235.0	23851.0
236.0	13142.0
237.0	24605.0
238.0	24423.0
239.0	24243.0
240.0	25389.0
241.0	32741.0
242.0	25016.0
243.0	32467.0
244.0	40082.0
245.0	33769.0
246.0	43321.0
247.0	42069.0
248.0	49974.0
249.0	56865.0
250.0	63485.0
251.0	74495.0
252.0	81116.0
253.0	93180.0
254.0	108750.0
255.0	5.8407098E7
