#Transcript position	Transcript coverage profile
0.0	2804.0468848887485
1.0	2787.147887332169
2.0	2865.9480367709157
3.0	3028.586190051227
4.0	3315.557500400978
5.0	3510.7219538239515
6.0	3742.6774687189973
7.0	4028.7045817133517
8.0	4186.57835882313
9.0	4318.504590590629
10.0	4555.94284486072
11.0	4848.64162110347
12.0	5204.49026586695
13.0	5342.60230533488
14.0	5445.043867384507
15.0	5552.392610345325
16.0	5697.448802525098
17.0	5956.354075068595
18.0	6250.727930157789
19.0	6398.20903825847
20.0	6564.449879501687
21.0	6661.788164323955
22.0	6764.978834440854
23.0	6722.724371349856
24.0	6754.729016411677
25.0	6802.366782658928
26.0	6869.321505464258
27.0	6877.534837903594
28.0	6849.351621876047
29.0	6864.949824809021
30.0	6853.610732291389
31.0	6781.4558603364685
32.0	6866.911074634147
33.0	6806.358208413418
34.0	6860.352827460169
35.0	6790.7320070655705
36.0	6785.266687009939
37.0	6749.586232498654
38.0	6730.992104439668
39.0	6692.592568016876
40.0	6608.230330803441
41.0	6498.080311794063
42.0	6544.209620404835
43.0	6593.485587057409
44.0	6661.933756492685
45.0	6607.723401520921
46.0	6528.779182815586
47.0	6475.902079297816
48.0	6530.687787990965
49.0	6492.365355292625
50.0	6371.166055721703
51.0	6363.4652884247525
52.0	6323.241989977584
53.0	6375.449630637595
54.0	6309.601158012979
55.0	6174.157189739486
56.0	6079.074628395666
57.0	6144.61334039527
58.0	6157.7418859199925
59.0	6302.311811413628
60.0	6235.4140388930655
61.0	6112.801815885743
62.0	6058.923303955364
63.0	5975.548697885786
64.0	5921.353549686332
65.0	5840.406965975492
66.0	5692.567877078853
67.0	5585.142260163287
68.0	5528.532228537884
69.0	5502.255763180599
70.0	5421.072452708792
71.0	5380.01872809511
72.0	5304.771623332449
73.0	5284.277176522554
74.0	5158.496956912602
75.0	5062.5561096190495
76.0	4962.509649671255
77.0	4844.586944987047
78.0	4793.782089609221
79.0	4728.5306011470275
80.0	4647.201302165846
81.0	4524.5239280905
82.0	4305.184919646308
83.0	4125.202536143466
84.0	4017.261266502032
85.0	3794.8933978319674
86.0	3599.2898983417053
87.0	3405.4243494820507
88.0	3120.9739184372515
89.0	2878.790257816014
90.0	2584.0340439444017
91.0	2236.277355362879
92.0	2015.8578423785252
93.0	1791.3036121099972
94.0	1399.2903046415904
95.0	1110.3932454583953
96.0	864.0043936058087
97.0	626.7717986531593
98.0	309.62828382848807
99.0	75.77618443763072
