#Transcript position	Transcript coverage profile
0.0	4454.056461910441
1.0	4471.124556126642
2.0	4618.091446024552
3.0	4882.360282836752
4.0	5299.721995936787
5.0	5625.127425005392
6.0	5989.283513243357
7.0	6387.617652254493
8.0	6629.7632879537105
9.0	6825.236563824236
10.0	7100.219816822992
11.0	7420.520368992292
12.0	7818.297338545167
13.0	7997.961622766337
14.0	8155.928974257704
15.0	8300.313570782324
16.0	8481.239662584852
17.0	8770.312752481823
18.0	9094.391646163638
19.0	9245.226674675243
20.0	9435.543541793248
21.0	9583.448485342265
22.0	9717.249351236378
23.0	9687.178500467784
24.0	9714.099712236632
25.0	9767.067166366573
26.0	9838.341125493087
27.0	9861.250814744493
28.0	9856.95929956406
29.0	9864.691870774153
30.0	9867.947269814209
31.0	9839.27710687803
32.0	9940.895735969407
33.0	9870.336816357998
34.0	9920.509129495316
35.0	9862.202147874683
36.0	9874.61285529206
37.0	9856.24961303519
38.0	9849.63688367841
39.0	9820.02101797865
40.0	9732.577853701594
41.0	9630.828556760274
42.0	9681.88438212319
43.0	9749.354692831961
44.0	9837.315413014734
45.0	9801.293269486594
46.0	9728.986589280548
47.0	9664.784269405653
48.0	9707.242715658218
49.0	9664.465397836386
50.0	9553.33204125655
51.0	9566.497079462064
52.0	9535.0334613049
53.0	9607.41333225338
54.0	9564.828871974163
55.0	9430.18283921966
56.0	9334.17092210171
57.0	9419.733381469025
58.0	9435.282078094135
59.0	9572.100616822425
60.0	9493.791490891455
61.0	9362.512404276511
62.0	9311.85475496434
63.0	9236.029605952277
64.0	9174.370603635145
65.0	9095.846493311788
66.0	8956.858541464095
67.0	8858.838425215017
68.0	8817.69243510885
69.0	8798.078948922192
70.0	8708.183375364146
71.0	8646.814550787676
72.0	8567.738399281472
73.0	8535.046122393798
74.0	8425.981223075618
75.0	8334.81262482414
76.0	8233.115111568874
77.0	8111.671395829426
78.0	8055.849978592048
79.0	7999.318517250703
80.0	7925.990582020511
81.0	7800.799828458237
82.0	7577.998663148588
83.0	7411.059842230862
84.0	7304.320277491653
85.0	7095.938492245788
86.0	6884.868249930954
87.0	6665.062236978267
88.0	6335.2135930227205
89.0	6035.0336076097465
90.0	5643.649223857264
91.0	5187.138348679172
92.0	4865.942253475924
93.0	4480.705111917842
94.0	3904.3146428251357
95.0	3357.23292592586
96.0	2790.8692761596444
97.0	2121.555052940827
98.0	1281.6907765181863
99.0	407.69847273317527
