gene_id,counting_sub_2/dedup_sub/star.bam:Int-01,counting_sub_2/dedup_sub/star.bam:Int-02,counting_sub_2/dedup_sub/star.bam:Int-03,counting_sub_2/dedup_sub/star.bam:Int-04,counting_sub_2/dedup_sub/star.bam:Liv-01,counting_sub_2/dedup_sub/star.bam:Liv-02,counting_sub_2/dedup_sub/star.bam:Liv-03,counting_sub_2/dedup_sub/star.bam:Liv-04
Smp_329140,0,0,0,0,0,0,0,0
Smp_315690,2,0,1,4,5,4,0,3
Smp_317470,1,0,2,4,2,3,0,3
Smp_318880,0,0,0,0,0,0,0,0
Smp_319020,0,0,0,0,0,0,0,0
Smp_349630,2,0,2,9,2,19,1,6
Smp_349560,4,0,7,7,7,31,4,26
Smp_179970,0,0,0,1,0,6,0,1
Smp_173350,6,0,6,10,5,8,0,11
Smp_317840,0,0,0,0,0,0,0,0
Smp_165590,0,0,0,0,0,1,0,0
Smp_165600,0,0,1,1,0,4,0,1
Smp_319240,0,0,0,0,0,0,0,0
Smp_319340,0,2,0,0,1,4,0,0
Smp_350240,0,0,3,9,3,9,0,13
Smp_243170,0,0,0,0,0,0,0,0
Smp_199340,0,0,0,0,0,0,0,0
Smp_180260,0,0,0,0,0,0,0,2
Smp_311250,0,0,0,0,0,0,0,0
Smp_349570,1,0,1,2,0,0,0,2
Smp_242000,0,0,0,0,0,0,0,0
Smp_078490,0,0,0,0,0,0,0,0
Smp_164480,0,0,0,0,0,0,0,0
Smp_350510,0,0,0,3,0,0,0,0
Smp_201260,0,0,0,0,0,0,0,0
Smp_099150,0,0,2,0,0,0,0,2
Smp_099160,2,0,2,0,0,4,0,0
Smp_099210,0,0,2,0,0,0,0,0
Smp_176600,0,0,0,2,0,0,0,2
Smp_099170,0,0,0,0,0,0,0,0
Smp_346460,3,0,0,3,2,4,0,1
Smp_099240,0,0,0,0,0,0,0,0
Smp_176620,0,0,0,0,0,0,0,2
Smp_176630,0,0,0,0,0,0,0,0
Smp_176640,0,0,0,0,0,0,0,0
Smp_176650,2,0,0,0,0,0,0,0
Smp_346470,0,0,0,2,0,0,0,0
Smp_099300,0,0,0,0,2,0,0,0
Smp_099310,0,0,2,2,0,0,1,2
Smp_099320,0,0,0,2,0,0,0,0
Smp_305350,2,0,0,0,0,0,0,2
Smp_176700,6,2,4,0,0,4,0,2
Smp_323110,0,0,0,0,0,0,0,0
Smp_336800,0,0,0,0,0,0,0,0
Smp_087760,6,2,8,10,4,14,0,6
Smp_306370,0,0,0,0,0,0,2,0
Smp_337450,0,0,0,0,0,0,0,0
Smp_176760,0,2,2,2,0,0,0,2
Smp_241980,0,0,0,0,0,4,0,0
Smp_176780,0,0,0,0,0,0,0,0
Smp_341680,5,0,1,1,0,2,2,2
Smp_099570,1,0,0,0,0,2,0,0
Smp_346480,2,0,0,0,0,0,0,0
Smp_241990,0,0,0,0,0,0,0,0
Smp_345330,10,0,2,2,0,0,0,2
Smp_085010,0,0,0,0,0,0,0,0
Smp_168290,0,0,0,0,0,0,0,0
Smp_345790,0,0,0,0,0,0,0,0
Smp_103610,0,0,0,0,0,0,0,0
Smp_179960,0,0,0,0,0,0,0,0
Smp_333870,0,0,0,0,0,0,0,0
Smp_333930,0,0,0,0,0,0,0,0
Smp_333220,0,0,0,0,0,0,0,0
Smp_334070,0,0,0,0,0,0,0,0
Smp_334240,0,0,0,0,0,0,0,0
Smp_067060,0,0,0,0,0,0,0,0
Smp_344940,0,0,0,0,0,0,0,0
Smp_067090,0,0,0,0,0,2,0,0
Smp_158430,0,0,0,0,0,0,0,0
Smp_158440,0,0,0,0,0,0,0,2
Smp_200460,0,0,2,0,0,0,0,0
Smp_173020,0,0,0,0,0,0,0,0
Smp_092950,0,0,0,0,2,0,0,0
Smp_326440,6,6,4,2,2,2,0,1
Smp_092930,2,0,0,0,0,0,0,0
Smp_244890,0,0,0,0,0,0,0,0
Smp_244880,0,0,0,0,0,0,0,0
Smp_160410,0,0,0,0,0,0,0,0
Smp_347660,0,0,1,2,0,2,0,0
Smp_306440,2,0,0,2,0,0,0,0
Smp_328690,0,0,0,0,0,0,0,0
Smp_213650,0,0,0,0,0,0,0,0
Smp_213640,0,0,0,0,0,0,0,0
Smp_160460,1,0,0,5,2,2,0,2
Smp_244700,0,0,0,0,0,2,0,2
Smp_070540,0,0,0,0,0,0,0,0
Smp_160490,1,3,2,5,1,0,1,0
Smp_244670,0,0,0,0,0,0,0,0
Smp_313840,0,0,0,0,0,0,0,0
Smp_164190,0,0,0,0,0,0,0,0
Smp_164180,0,0,0,0,0,0,0,0
Smp_330320,0,0,0,0,0,0,0,0
Smp_164200,0,2,2,0,2,2,0,2
Smp_077980,0,0,0,0,0,0,0,0
Smp_164210,2,0,0,0,0,0,0,2
Smp_168930,0,0,0,2,0,0,0,0
Smp_114430,0,0,0,0,0,0,0,0
Smp_114435,0,0,0,0,0,0,0,0
Smp_086060,0,0,2,0,0,0,0,0
Smp_349660,0,0,0,0,0,1,0,0
Smp_154980,2,0,2,0,0,0,2,2
Smp_154970,0,0,0,0,0,0,0,0
Smp_200620,4,3,0,0,0,0,0,2
Smp_061100,0,0,0,0,0,0,0,0
Smp_154960,0,0,0,2,0,4,0,2
Smp_331210,1,0,0,0,0,0,0,0
Smp_196400,0,0,0,0,0,0,0,0
Smp_103790,0,6,0,0,0,0,0,0
Smp_201070,2,0,0,1,0,1,0,0
Smp_318490,0,0,0,0,0,0,0,0
Smp_016050,4,0,4,2,2,0,0,2
Smp_130910,0,0,0,0,0,0,0,0
Smp_172850,6,9,5,8,8,9,0,4
Smp_245010,0,0,2,0,0,2,0,0
Smp_016090,2,0,2,2,0,0,0,0
Smp_130940,0,0,0,0,0,0,0,0
Smp_347280,0,0,0,0,0,0,0,0
Smp_016200,0,0,0,0,0,0,0,6
