"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_000030",4,0,4,4,2,0,2,6
"Smp_000190",2,2,0,3,0,4,0,2
"Smp_000240",4,0,0,2,4,4,0,2
"Smp_000320",2,0,0,2,0,2,2,2
"Smp_000370",2,0,0,0,2,5,0,2
"Smp_000480",4,0,3,10,2,0,0,3
"Smp_000600",2,0,0,4,2,0,0,4
"Smp_000640",2,0,0,0,2,4,0,2
"Smp_000820",2,2,0,2,0,2,0,2
"Smp_001090",1,0,5,2,4,2,0,2
"Smp_001170",4,0,2,4,2,0,0,4
"Smp_001360",6,0,0,1,1,0,0,2
"Smp_001500",2,0,4,4,8,4,0,2
"Smp_001610",14,2,3,12,0,5,4,3
"Smp_001830",4,0,2,2,0,4,0,0
"Smp_002010",0,3,1,2,3,3,0,3
"Smp_002080",4,0,4,6,6,4,0,18
"Smp_002180",4,0,2,4,2,2,0,0
"Smp_002410",6,0,2,0,8,0,0,6
"Smp_002630",3,2,3,4,0,6,0,4
"Smp_003250",4,2,4,10,2,3,4,1
"Smp_003410",6,0,0,6,0,4,0,2
"Smp_003660",0,0,6,4,6,4,0,6
"Smp_003930",3,0,1,6,0,4,0,2
"Smp_003980",2,0,4,2,0,2,0,8
"Smp_003990",8,4,4,4,6,10,0,0
"Smp_004080",4,1,0,1,0,2,0,8
"Smp_004220",8,0,6,6,6,4,0,2
"Smp_004310",2,0,0,4,2,2,0,0
"Smp_004550",1,2,3,2,0,0,0,2
"Smp_004600",2,2,4,0,2,4,0,2
"Smp_004680",0,0,4,2,2,4,0,2
"Smp_004780",4,0,2,2,4,2,2,4
"Smp_004820",2,0,0,2,4,2,0,0
"Smp_004910",0,0,2,0,6,2,0,2
"Smp_004990",16,0,2,10,6,8,2,8
"Smp_005670",4,0,2,0,0,8,0,2
"Smp_005880",2,0,2,10,0,8,0,6
"Smp_006340",14,2,7,11,6,2,0,16
"Smp_006350",12,9,9,12,2,8,3,20
"Smp_006550",2,0,2,6,0,8,0,0
"Smp_006630",4,3,6,8,1,3,0,0
"Smp_006690",4,1,3,6,1,1,0,6
"Smp_006700",42,4,15,35,11,11,3,22
"Smp_006710",8,7,7,12,5,17,1,15
"Smp_007170",0,0,2,2,0,4,0,2
"Smp_007260",2,0,2,0,2,2,0,4
"Smp_007380",0,0,0,2,0,2,2,4
"Smp_007710",2,0,4,2,2,0,0,6
"Smp_007900",0,4,0,6,16,14,2,8
"Smp_008140",1,0,1,3,2,4,0,1
"Smp_008320",0,0,2,6,4,4,0,0
"Smp_008360",3,0,4,4,8,10,0,4
"Smp_008400",6,4,0,7,2,8,2,6
"Smp_008430",19,8,14,20,3,21,0,16
"Smp_008440",40,8,19,37,14,73,8,32
"Smp_008500",0,0,0,4,4,2,0,2
"Smp_008545",16,4,8,22,22,16,0,24
"Smp_008900",6,2,2,4,4,2,0,4
"Smp_009230",11,7,11,20,12,57,0,15
"Smp_009250",2,0,2,4,4,0,2,4
"Smp_009310",36,10,32,30,34,22,2,53
"Smp_009400",0,0,2,1,0,2,2,4
"Smp_009650",2,2,0,6,0,4,0,8
"Smp_009690",16,2,6,10,16,14,0,32
"Smp_009760",9,2,1,12,11,15,0,13
"Smp_010110",4,0,2,3,0,1,0,0
"Smp_010290",2,0,2,2,0,4,0,2
"Smp_010620",4,0,2,4,0,2,0,4
"Smp_010940",10,0,2,4,4,5,0,4
"Smp_011120",4,0,2,0,4,4,0,4
"Smp_011270",2,4,0,0,0,4,0,2
"Smp_011570",6,2,0,12,4,10,0,12
"Smp_011860",4,2,0,0,2,0,0,2
"Smp_012070",4,0,2,0,2,4,0,0
"Smp_012150",4,0,2,1,0,0,1,3
"Smp_012340",4,0,2,2,0,0,0,2
"Smp_012470",2,0,0,4,2,4,0,2
"Smp_012570",2,0,0,1,2,1,0,4
"Smp_012690",1,1,1,4,2,0,1,4
"Smp_012720",6,0,4,0,0,1,0,1
"Smp_012740",6,2,1,4,5,4,0,1
"Smp_012750",9,0,4,4,0,4,0,4
"Smp_012860",0,0,0,2,2,8,0,5
"Smp_012930",2,0,0,2,2,0,0,4
"Smp_013200",4,2,0,10,4,16,0,8
"Smp_013210",0,0,1,0,1,7,0,2
"Smp_013370",13,3,3,4,1,11,1,7
"Smp_013470",8,4,4,10,0,18,0,12
"Smp_013790",6,2,0,0,4,4,0,2
"Smp_013840",0,0,2,0,4,8,0,4
"Smp_013930",19,17,29,30,11,13,2,20
"Smp_014290",0,0,4,2,2,2,0,6
"Smp_015050",0,0,2,4,0,2,2,2
"Smp_015090",4,0,0,8,3,6,0,6
"Smp_015530",0,0,0,8,4,6,0,14
"Smp_015690",6,4,4,8,0,5,2,34
"Smp_015860",1,0,4,1,2,2,0,0
"Smp_016050",4,0,4,2,2,0,0,2
"Smp_016730",26,9,3,27,9,23,2,6
"Smp_016900",0,0,0,2,4,2,0,2
"Smp_017010",12,2,0,6,4,4,0,2
"Smp_017070",0,2,0,3,0,2,0,4
"Smp_017280",18,0,8,10,12,10,0,10
"Smp_017360",6,0,6,2,0,2,0,6
"Smp_017430",10,4,0,2,2,4,0,16
"Smp_017660",2,2,0,6,2,1,0,4
"Smp_017710",0,0,0,4,2,2,2,2
"Smp_017730",2,2,2,0,0,0,0,8
"Smp_018220",3,2,2,0,1,2,0,0
"Smp_018240",10,0,2,4,2,6,0,2
"Smp_018250",2,0,2,6,0,0,0,2
"Smp_018310",4,2,6,0,6,6,0,8
"Smp_018360",0,0,0,0,2,4,2,4
"Smp_018530",8,0,4,2,8,6,0,0
"Smp_019190",0,2,0,0,2,4,0,8
"Smp_019260",9,1,1,4,2,2,2,5
"Smp_019440",2,0,0,2,4,4,0,4
"Smp_019630",2,0,2,2,2,0,0,2
"Smp_019690",2,0,2,2,4,10,0,2
"Smp_019730",4,0,6,4,4,2,0,4
"Smp_019750",0,2,2,2,0,4,0,2
"Smp_019790",0,0,0,2,2,2,0,6
"Smp_019820",4,0,0,2,2,3,0,3
"Smp_019950",2,0,2,0,0,6,0,2
"Smp_020060",3,0,2,1,0,0,0,4
"Smp_020550",2,2,0,2,0,5,2,6
"Smp_020590",47,8,18,40,28,28,8,65
"Smp_020920",0,0,4,0,2,2,0,2
"Smp_021040",1,2,3,1,0,5,0,2
"Smp_021140",6,0,0,4,2,6,0,0
"Smp_021170",2,0,1,2,0,0,0,5
"Smp_021340",0,2,2,4,0,2,0,2
"Smp_021370",2,0,2,4,0,4,0,2
"Smp_021730",2,0,2,4,2,10,0,2
"Smp_021960",9,1,5,5,4,3,1,7
"Smp_022660",8,0,4,4,8,10,2,12
"Smp_023170",0,2,8,4,2,24,0,6
"Smp_023360",5,0,2,0,0,8,0,4
"Smp_023470",4,0,4,5,4,4,0,2
"Smp_024030",21,9,20,27,13,24,2,16
"Smp_024110",4,0,0,4,0,2,0,6
"Smp_024120",4,0,0,2,6,0,0,2
"Smp_024140",12,2,8,12,2,10,0,4
"Smp_024850",10,0,6,6,0,6,0,12
"Smp_024880",2,0,4,0,2,10,0,4
"Smp_024900",36,12,21,24,3,20,8,29
"Smp_025030",0,0,0,4,2,2,0,2
"Smp_025130",2,0,0,0,4,4,0,2
"Smp_025380",4,0,10,0,0,4,0,4
"Smp_025570",5,1,6,3,5,7,0,4
"Smp_025860",2,0,0,2,2,2,0,4
"Smp_026160",2,0,4,4,4,4,2,0
"Smp_026260",2,0,0,4,0,2,0,2
"Smp_026560",4,0,4,12,2,12,0,12
"Smp_026920",1,5,1,5,1,5,0,6
"Smp_027550",7,2,1,1,0,5,0,2
"Smp_027610",4,0,6,8,2,6,2,0
"Smp_027910",4,0,1,0,0,1,0,4
"Smp_027920",2,0,2,6,4,2,2,6
"Smp_028330",6,0,2,0,2,4,0,4
"Smp_028500",2,0,2,6,2,6,0,2
"Smp_029240",6,0,2,0,0,4,0,8
"Smp_029400",0,0,2,6,0,2,0,4
"Smp_029670",23,14,4,33,6,14,1,18
"Smp_029890",0,0,2,2,0,4,0,3
"Smp_030370",2,2,0,2,12,8,0,4
"Smp_030500",8,0,6,10,0,10,0,10
"Smp_030730",14,4,24,20,10,14,0,28
"Smp_030780",2,0,0,0,4,2,0,2
"Smp_030830",4,0,0,4,0,4,0,10
"Smp_030920",2,4,4,6,4,6,0,0
"Smp_031360",4,0,0,2,0,6,0,2
"Smp_031570",2,0,4,2,0,2,2,4
"Smp_031770",2,2,2,1,0,0,0,4
"Smp_031880",2,2,4,0,2,0,0,0
"Smp_032180",0,0,0,2,2,10,0,4
"Smp_032260",12,2,2,0,0,6,0,8
"Smp_032320",2,2,2,0,2,2,2,2
"Smp_032510",2,0,0,2,0,4,2,0
"Smp_032580",2,0,2,0,2,10,0,4
"Smp_032670",16,2,4,25,14,28,0,30
"Smp_032760",4,2,6,8,2,16,0,2
"Smp_032790",11,0,3,3,0,10,0,18
"Smp_032930",4,1,0,4,1,0,0,4
"Smp_033400",8,0,4,2,0,4,0,2
"Smp_033530",1,0,2,0,0,3,0,4
"Smp_033710",6,0,0,3,2,0,0,2
"Smp_033760",0,0,2,2,3,4,0,0
"Smp_033950",0,2,0,2,2,4,0,0
"Smp_034190",2,2,0,2,2,4,0,6
"Smp_034700",2,2,2,6,2,4,4,4
"Smp_034860",1,4,1,1,1,0,0,7
"Smp_035200",18,2,4,12,10,34,2,16
"Smp_035280",2,0,2,0,0,4,0,2
"Smp_036020",1,0,1,3,2,3,0,5
"Smp_036130",0,0,0,2,2,4,0,2
"Smp_036220",4,0,2,0,2,16,0,6
"Smp_036270",10,4,0,4,2,4,0,4
"Smp_036370",13,3,9,9,3,10,0,14
"Smp_036390",3,2,4,5,2,2,2,3
"Smp_037190",4,2,2,12,3,5,1,5
"Smp_037690",7,2,2,4,0,0,0,0
"Smp_037700",4,0,2,0,4,8,0,4
"Smp_038080",4,0,2,6,0,2,0,6
"Smp_038100",4,0,8,8,0,0,0,2
