"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"1","Smp_315690",2,0,1,4,5,4,0,3,19
"2","Smp_317470",1,0,2,4,2,3,0,3,15
"3","Smp_349630",2,0,2,9,2,19,1,6,41
"4","Smp_349560",4,0,7,7,7,31,4,26,86
"5","Smp_173350",6,0,6,10,5,8,0,11,46
"6","Smp_350240",0,0,3,9,3,9,0,13,37
"7","Smp_346460",3,0,0,3,2,4,0,1,13
"8","Smp_176700",6,2,4,0,0,4,0,2,18
"9","Smp_087760",6,2,8,10,4,14,0,6,50
"10","Smp_341680",5,0,1,1,0,2,2,2,13
"11","Smp_345330",10,0,2,2,0,0,0,2,16
"12","Smp_326440",6,6,4,2,2,2,0,1,23
"13","Smp_160460",1,0,0,5,2,2,0,2,12
"14","Smp_160490",1,3,2,5,1,0,1,0,13
"15","Smp_164200",0,2,2,0,2,2,0,2,10
"16","Smp_016050",4,0,4,2,2,0,0,2,14
"17","Smp_172850",6,9,5,8,8,9,0,4,49
"18","Smp_171010",5,3,8,6,0,2,0,8,32
"19","Smp_089570",2,2,2,0,2,4,0,0,12
"20","Smp_089640",6,0,0,0,2,4,0,2,14
"21","Smp_171070",4,0,4,2,2,0,0,2,14
"22","Smp_151650",4,2,4,0,10,4,0,6,30
"23","Smp_055440",6,2,0,0,1,0,0,4,13
"24","Smp_163210",4,0,4,2,0,2,0,2,14
"25","Smp_347120",0,0,4,4,0,4,2,2,16
"26","Smp_340110",6,7,7,9,2,5,2,9,47
"27","Smp_004080",4,1,0,1,0,2,0,8,16
"28","Smp_340100",0,0,2,4,1,0,0,4,11
"29","Smp_124320",1,1,4,2,0,1,0,3,12
"30","Smp_003990",8,4,4,4,6,10,0,0,36
"31","Smp_003980",2,0,4,2,0,2,0,8,18
"32","Smp_003970",0,2,0,0,0,8,0,6,16
"33","Smp_003930",3,0,1,6,0,4,0,2,16
"34","Smp_332800",6,2,0,0,2,3,0,2,15
"35","Smp_003700",2,0,0,0,0,4,0,4,10
"36","Smp_003660",0,0,6,4,6,4,0,6,26
"37","Smp_321620",2,0,0,4,4,2,0,0,12
"38","Smp_003410",6,0,0,6,0,4,0,2,18
"39","Smp_003250",4,2,4,10,2,3,4,1,30
"40","Smp_162000",0,2,2,0,4,2,0,0,10
"41","Smp_073620",0,0,2,0,2,8,0,2,14
"42","Smp_161960",2,0,2,2,0,0,0,6,12
"43","Smp_079230",8,0,6,3,8,20,0,2,47
