"","Geneid","n"
"1","Smp_000020",1
"2","Smp_000040",2
"3","Smp_000070",1
"4","Smp_000100",3
"5","Smp_000110",2
"6","Smp_000150",1
"7","Smp_000200",2
"8","Smp_000230",1
"9","Smp_000250",1
"10","Smp_000260",3
"11","Smp_000310",2
"12","Smp_000590",1
"13","Smp_000650",2
"14","Smp_000660",3
"15","Smp_000670",1
"16","Smp_000700",1
"17","Smp_000710",3
"18","Smp_000720",1
"19","Smp_000740",3
"20","Smp_000755",1
"21","Smp_000810",1
"22","Smp_000870",3
"23","Smp_000880",2
"24","Smp_000950",3
"25","Smp_000980",1
"26","Smp_000990",3
"27","Smp_001000",2
"28","Smp_001040",1
"29","Smp_001070",2
"30","Smp_001080",1
"31","Smp_001095",2
"32","Smp_001100",1
"33","Smp_001180",2
"34","Smp_001210",1
"35","Smp_001390",1
"36","Smp_001420",1
"37","Smp_001560",1
"38","Smp_001640",2
"39","Smp_001900",1
"40","Smp_001950",3
"41","Smp_001960",1
"42","Smp_002100",1
"43","Smp_002230",3
"44","Smp_002280",2
"45","Smp_002510",1
"46","Smp_002550",2
"47","Smp_002600",1
"48","Smp_002740",2
"49","Smp_002820",3
"50","Smp_002840",1
"51","Smp_002870",1
"52","Smp_002880",3
"53","Smp_003130",1
"54","Smp_003270",2
"55","Smp_003280",3
"56","Smp_003330",1
"57","Smp_003610",1
"58","Smp_003620",2
"59","Smp_003700",3
"60","Smp_003710",3
"61","Smp_003770",3
"62","Smp_003860",2
"63","Smp_003970",3
"64","Smp_004070",1
"65","Smp_004160",1
"66","Smp_004190",3
"67","Smp_004350",1
"68","Smp_004360",1
"69","Smp_004470",1
"70","Smp_004480",1
"71","Smp_004630",3
"72","Smp_004690",2
"73","Smp_004710",2
"74","Smp_004730",2
"75","Smp_004810",1
"76","Smp_004940",3
"77","Smp_005000",1
"78","Smp_005010",2
"79","Smp_005020",2
"80","Smp_005080",3
"81","Smp_005160",2
"82","Smp_005180",3
"83","Smp_005190",3
"84","Smp_005210",1
"85","Smp_005230",3
"86","Smp_005260",3
"87","Smp_005280",1
"88","Smp_005290",2
"89","Smp_005330",2
"90","Smp_005470",1
"91","Smp_005500",3
"92","Smp_005520",1
"93","Smp_005640",3
"94","Smp_005720",2
"95","Smp_005900",2
"96","Smp_005960",1
"97","Smp_006000",1
"98","Smp_006060",1
"99","Smp_006190",3
"100","Smp_006320",3
"101","Smp_006390",2
"102","Smp_006590",1
"103","Smp_006680",1
"104","Smp_006760",2
"105","Smp_006780",3
"106","Smp_006830",2
"107","Smp_006840",1
"108","Smp_006850",2
"109","Smp_006860",2
"110","Smp_007000",1
"111","Smp_007180",3
"112","Smp_007190",1
"113","Smp_007210",1
"114","Smp_007450",2
"115","Smp_007500",1
"116","Smp_007510",2
"117","Smp_007550",1
"118","Smp_007630",2
"119","Smp_007650",3
"120","Smp_007760",1
"121","Smp_007890",3
"122","Smp_007960",1
"123","Smp_007970",1
"124","Smp_008070",3
"125","Smp_008120",2
"126","Smp_008220",2
"127","Smp_008230",2
"128","Smp_008260",1
"129","Smp_008290",1
"130","Smp_008310",3
"131","Smp_008470",2
"132","Smp_008580",2
"133","Smp_008610",1
"134","Smp_008660",2
"135","Smp_008710",2
"136","Smp_008770",2
"137","Smp_009020",1
"138","Smp_009030",2
"139","Smp_009070",2
"140","Smp_009150",2
"141","Smp_009320",2
"142","Smp_009340",2
"143","Smp_009390",2
"144","Smp_009520",1
"145","Smp_009990",1
"146","Smp_010090",2
"147","Smp_010140",1
"148","Smp_010250",2
"149","Smp_010260",3
"150","Smp_010280",2
"151","Smp_010380",2
"152","Smp_010400",1
"153","Smp_010550",1
"154","Smp_010710",2
"155","Smp_010820",3
"156","Smp_010930",2
"157","Smp_011000",2
"158","Smp_011010",1
"159","Smp_011030",3
"160","Smp_011150",2
"161","Smp_011220",1
"162","Smp_011230",1
"163","Smp_011560",1
"164","Smp_011640",1
"165","Smp_011710",2
"166","Smp_011720",2
"167","Smp_011830",1
"168","Smp_011870",1
"169","Smp_011980",1
"170","Smp_011990",2
"171","Smp_012110",3
"172","Smp_012200",1
"173","Smp_012280",2
"174","Smp_012350",2
"175","Smp_012400",2
"176","Smp_012410",1
"177","Smp_012440",1
"178","Smp_012530",1
"179","Smp_012540",2
"180","Smp_012580",1
"181","Smp_012790",3
"182","Smp_012810",1
"183","Smp_012900",3
"184","Smp_012980",2
"185","Smp_013040",2
"186","Smp_013070",2
"187","Smp_013080",1
"188","Smp_013300",1
"189","Smp_013360",2
"190","Smp_013460",1
"191","Smp_013520",2
"192","Smp_013690",2
"193","Smp_013815",1
"194","Smp_013860",1
"195","Smp_013870",2
"196","Smp_013950",1
"197","Smp_014010",3
"198","Smp_014170",2
"199","Smp_014280",1
"200","Smp_014430",1
"201","Smp_014570",1
"202","Smp_014620",1
"203","Smp_014650",3
"204","Smp_014670",3
"205","Smp_014780",1
"206","Smp_014800",2
"207","Smp_015020",2
"208","Smp_015100",1
"209","Smp_015440",1
"210","Smp_015480",1
"211","Smp_015630",2
"212","Smp_015720",1
"213","Smp_015730",3
"214","Smp_015780",1
"215","Smp_015800",3
"216","Smp_015840",1
"217","Smp_015850",2
"218","Smp_015880",1
"219","Smp_015980",1
"220","Smp_016090",3
"221","Smp_016130",1
"222","Smp_016180",2
"223","Smp_016200",1
"224","Smp_016340",1
"225","Smp_016380",2
"226","Smp_016540",2
"227","Smp_016600",2
"228","Smp_016630",1
"229","Smp_016920",1
"230","Smp_016990",1
"231","Smp_017420",1
"232","Smp_017470",2
"233","Smp_017520",1
"234","Smp_017650",1
"235","Smp_017750",3
"236","Smp_017830",2
"237","Smp_017890",2
"238","Smp_018010",2
"239","Smp_018020",1
"240","Smp_018170",1
"241","Smp_018210",1
"242","Smp_018400",1
"243","Smp_018430",1
"244","Smp_018460",2
"245","Smp_018580",1
"246","Smp_018620",3
"247","Smp_018680",2
"248","Smp_018760",2
"249","Smp_018790",2
"250","Smp_018930",1
"251","Smp_018940",1
"252","Smp_018950",1
"253","Smp_019030",2
"254","Smp_019100",2
"255","Smp_019130",3
"256","Smp_019170",2
"257","Smp_019280",2
"258","Smp_019380",2
"259","Smp_019430",3
"260","Smp_019490",1
"261","Smp_019640",3
"262","Smp_019680",2
"263","Smp_019760",1
"264","Smp_019900",1
"265","Smp_020040",3
"266","Smp_020050",3
"267","Smp_020070",1
"268","Smp_020220",1
"269","Smp_020370",3
"270","Smp_020400",3
"271","Smp_020760",2
"272","Smp_020770",3
"273","Smp_020800",1
"274","Smp_021060",1
"275","Smp_021070",1
"276","Smp_021080",2
"277","Smp_021130",1
"278","Smp_021160",1
"279","Smp_021220",3
"280","Smp_021290",1
"281","Smp_021300",1
"282","Smp_021330",2
"283","Smp_021390",1
"284","Smp_021460",3
"285","Smp_021540",2
"286","Smp_021590",1
"287","Smp_021600",1
"288","Smp_021750",1
"289","Smp_021760",2
"290","Smp_021830",1
"291","Smp_021910",3
"292","Smp_021920",3
"293","Smp_022020",2
"294","Smp_022090",2
"295","Smp_022110",2
"296","Smp_022140",1
"297","Smp_022320",1
"298","Smp_022330",3
"299","Smp_022340",1
"300","Smp_022400",3
"301","Smp_022430",2
"302","Smp_022450",3
"303","Smp_022470",3
"304","Smp_022500",2
"305","Smp_022540",2
"306","Smp_022640",2
"307","Smp_022700",1
"308","Smp_022810",1
"309","Smp_022850",2
"310","Smp_022890",1
"311","Smp_022960",1
"312","Smp_023150",1
"313","Smp_023230",1
"314","Smp_023250",2
"315","Smp_023270",3
"316","Smp_023550",2
"317","Smp_023660",1
"318","Smp_023700",2
"319","Smp_023840",3
