#Duplication rate	Coverage
1.0	1909229.0
2.0	668049.0
3.0	273602.0
4.0	137200.0
5.0	76519.0
6.0	48781.0
7.0	32971.0
8.0	23832.0
9.0	17982.0
10.0	14022.0
11.0	11109.0
12.0	9064.0
13.0	7622.0
14.0	6493.0
15.0	5522.0
16.0	4773.0
17.0	4250.0
18.0	3836.0
19.0	3390.0
20.0	3045.0
21.0	2744.0
22.0	2519.0
23.0	2142.0
24.0	2073.0
25.0	1982.0
26.0	1682.0
27.0	1621.0
28.0	1503.0
29.0	1358.0
30.0	1311.0
31.0	1194.0
32.0	1177.0
33.0	1038.0
34.0	1003.0
35.0	945.0
36.0	904.0
37.0	829.0
38.0	767.0
39.0	764.0
40.0	670.0
41.0	686.0
42.0	610.0
43.0	560.0
44.0	613.0
45.0	574.0
46.0	522.0
47.0	477.0
48.0	480.0
49.0	469.0
50.0	14464.0
