#Coverage (X)	Coverage
1.0	30.550885044475564
2.0	21.513079086767974
3.0	14.831130831950631
4.0	12.091579923136464
5.0	9.916863813892178
6.0	8.732599820176603
7.0	7.773148227946265
8.0	7.121422418457044
9.0	6.585244319691682
10.0	6.165418584791638
11.0	5.811918366685006
12.0	5.512012851699026
13.0	5.2462731492944386
14.0	5.011274559623217
15.0	4.80136385392791
16.0	4.6116155942029025
17.0	4.436812745751922
18.0	4.276414869897863
19.0	4.127045305786197
20.0	3.989966998556582
21.0	3.8613454757462335
22.0	3.74137193254937
23.0	3.6294852735216665
24.0	3.521687693622397
25.0	3.420314368326558
26.0	3.3238842554639376
27.0	3.2323627669591986
28.0	3.1457215598061623
29.0	3.0631968140078527
30.0	2.984882685991579
31.0	2.9094946130706205
32.0	2.8371296340118732
33.0	2.7683819911651852
34.0	2.7021631209373993
35.0	2.6385513268879492
36.0	2.5780697536562656
37.0	2.5190874774123415
38.0	2.4632690492816494
39.0	2.4095749054444155
40.0	2.358347083534497
41.0	2.3080536200485398
42.0	2.259661059536171
43.0	2.2136704486998013
44.0	2.169109478310588
45.0	2.1260021678652947
46.0	2.0842389884586936
47.0	2.042761641063535
48.0	2.003174628063391
49.0	1.9651109315477697
50.0	1.9280080149025594
51.0	1.8922146412207042
