#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	7.416515987783515E-7
10.0	7.416515987783515E-7
11.0	1.483303197556703E-6
12.0	2.966606395113406E-6
13.0	4.4499095926701085E-6
14.0	4.4499095926701085E-6
15.0	1.8541289969458788E-5
16.0	4.7465702321814496E-5
17.0	9.715635943996406E-5
18.0	1.8615455129336624E-4
19.0	3.6785919299406236E-4
20.0	6.971525028516504E-4
21.0	0.0010954194113956253
22.0	0.001850420738951987
23.0	0.0028167927721601794
24.0	0.0045070167657760415
25.0	0.007262252455237618
26.0	0.008140367948191184
27.0	0.012354432332449778
28.0	0.015157133724233168
29.0	0.01900630552189281
30.0	0.023426549050611787
31.0	0.027154831637670566
32.0	0.03178644587204136
33.0	0.03427320368274518
34.0	0.038636340038358225
35.0	0.04246326228805451
36.0	0.0459720160018749
37.0	0.05012600660663244
38.0	0.051119819748995425
39.0	0.05474946267341669
40.0	0.05668072343663552
41.0	0.05653165146528107
42.0	0.058092086429110706
43.0	0.05307036345378249
44.0	0.04947854476089894
45.0	0.04618116175273039
46.0	0.04128255294279937
47.0	0.033392863234995275
48.0	0.025273261531569884
49.0	0.02060456471726016
50.0	0.015654781947013443
51.0	0.01209856253087125
52.0	0.00641083641984007
53.0	0.006162383134249323
54.0	0.006849152514718075
55.0	0.009139372651745626
56.0	0.009915140224067781
57.0	0.007726526356072866
58.0	0.0018407792681678684
59.0	0.0027900933146041583
60.0	0.002977731169095081
61.0	0.0020514083222209203
62.0	6.704530452956299E-4
63.0	3.760173605806242E-4
64.0	3.344848710490365E-4
65.0	2.3213695041762405E-4
66.0	2.9369403311622715E-4
67.0	3.2855165825880977E-4
68.0	1.9282941568237138E-4
69.0	3.1891018747469116E-5
70.0	7.416515987783515E-7
71.0	7.416515987783515E-7
72.0	0.0
73.0	0.0
74.0	0.0
75.0	7.416515987783515E-7
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	7.416515987783515E-7
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	7.416515987783515E-7
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	4.4499095926701085E-6
