#Mapping quality	mapping quality
0.0	424409.0
1.0	561137.0
2.0	67515.0
3.0	1241719.0
4.0	3864.0
5.0	2880.0
6.0	2703.0
7.0	2213.0
8.0	2137.0
9.0	2365.0
10.0	2306.0
11.0	2304.0
12.0	2656.0
13.0	2531.0
14.0	2150.0
15.0	2946.0
16.0	2595.0
17.0	3008.0
18.0	2835.0
19.0	3378.0
20.0	2549.0
21.0	3329.0
22.0	3995.0
23.0	3112.0
24.0	4740.0
25.0	4677.0
26.0	3742.0
27.0	2890.0
28.0	5449.0
29.0	4532.0
30.0	3475.0
31.0	6411.0
32.0	5776.0
33.0	4013.0
34.0	7377.0
35.0	2652.0
36.0	4574.0
37.0	7786.0
38.0	4154.0
39.0	9307.0
40.0	3495.0
41.0	3263.0
42.0	4359.0
43.0	8476.0
44.0	4893.0
45.0	10201.0
46.0	2810.0
47.0	4082.0
48.0	4603.0
49.0	2325.0
50.0	2347.0
51.0	14947.0
52.0	7191.0
53.0	22694.0
54.0	2204.0
55.0	2942.0
56.0	2699.0
57.0	5586.0
58.0	3138.0
59.0	5065.0
60.0	2474.0
61.0	3026.0
62.0	2165.0
63.0	5148.0
64.0	17936.0
65.0	10608.0
66.0	28198.0
67.0	1852.0
68.0	2180.0
69.0	2425.0
70.0	3329.0
71.0	4092.0
72.0	2380.0
73.0	5966.0
74.0	3456.0
75.0	6399.0
76.0	1762.0
77.0	3524.0
78.0	4174.0
79.0	2428.0
80.0	2788.0
81.0	2327.0
82.0	1929.0
83.0	1526.0
84.0	1361.0
85.0	53926.0
86.0	13464.0
87.0	86093.0
88.0	1255.0
89.0	1473.0
90.0	1733.0
91.0	2552.0
92.0	1640.0
93.0	2804.0
94.0	3290.0
95.0	2112.0
96.0	3918.0
97.0	5728.0
98.0	2045.0
99.0	2766.0
100.0	1439.0
101.0	1489.0
102.0	10567.0
103.0	22240.0
104.0	1034.0
105.0	1502.0
106.0	2468.0
107.0	2103.0
108.0	2049.0
109.0	5203.0
110.0	4283.0
111.0	8220.0
112.0	1838.0
113.0	3230.0
114.0	2703.0
115.0	4404.0
116.0	2754.0
117.0	3614.0
118.0	1958.0
119.0	2585.0
120.0	2200.0
121.0	1936.0
122.0	1592.0
123.0	1797.0
124.0	1255.0
125.0	1110.0
126.0	953.0
127.0	28002.0
128.0	82752.0
129.0	195338.0
130.0	840.0
131.0	1094.0
132.0	1412.0
133.0	1389.0
134.0	1683.0
135.0	2263.0
136.0	2153.0
137.0	2589.0
138.0	2394.0
139.0	2575.0
140.0	3145.0
141.0	2387.0
142.0	4452.0
143.0	5075.0
144.0	2047.0
145.0	2356.0
146.0	7393.0
147.0	8290.0
148.0	2205.0
149.0	2543.0
150.0	3035.0
151.0	2219.0
152.0	1339.0
153.0	18546.0
154.0	33740.0
155.0	1413.0
156.0	2040.0
157.0	2913.0
158.0	2663.0
159.0	4095.0
160.0	7862.0
161.0	1676.0
162.0	3278.0
163.0	4656.0
164.0	2460.0
165.0	2805.0
166.0	2460.0
167.0	1912.0
168.0	1319.0
169.0	1019.0
170.0	54614.0
171.0	112771.0
172.0	1247.0
173.0	1727.0
174.0	2386.0
175.0	2450.0
176.0	3351.0
177.0	4395.0
178.0	3271.0
179.0	6522.0
180.0	2974.0
181.0	1978.0
182.0	10062.0
183.0	17071.0
184.0	2457.0
185.0	4095.0
186.0	5289.0
187.0	4509.0
188.0	2864.0
189.0	2674.0
190.0	1576.0
191.0	28999.0
192.0	66084.0
193.0	2096.0
194.0	2823.0
195.0	4478.0
196.0	6187.0
197.0	2592.0
198.0	7076.0
199.0	13589.0
200.0	3666.0
201.0	7171.0
202.0	2917.0
203.0	2148.0
204.0	69716.0
205.0	2064.0
206.0	3312.0
207.0	6061.0
208.0	4994.0
209.0	11942.0
210.0	5290.0
211.0	4062.0
212.0	13729.0
213.0	37972.0
214.0	4095.0
215.0	6516.0
216.0	10650.0
217.0	5541.0
218.0	11323.0
219.0	32620.0
220.0	5625.0
221.0	10547.0
222.0	5424.0
223.0	34596.0
224.0	5575.0
225.0	11659.0
226.0	9015.0
227.0	26351.0
228.0	11693.0
229.0	28151.0
230.0	6798.0
231.0	13060.0
232.0	22987.0
233.0	12447.0
234.0	25693.0
235.0	24006.0
236.0	13035.0
237.0	24902.0
238.0	24512.0
239.0	24499.0
240.0	25327.0
241.0	32744.0
242.0	25440.0
243.0	32766.0
244.0	39863.0
245.0	33864.0
246.0	43412.0
247.0	43400.0
248.0	51540.0
249.0	58559.0
250.0	65263.0
251.0	77743.0
252.0	84019.0
253.0	95076.0
254.0	110413.0
255.0	5.8387898E7
