#Transcript position	Transcript coverage profile
0.0	2648.8497009900398
1.0	2642.713848576787
2.0	2738.1566777297203
3.0	2918.2651803003937
4.0	3236.805721790051
5.0	3435.2879559562866
6.0	3680.1546847541167
7.0	3973.911633916139
8.0	4154.644510982875
9.0	4291.657793673083
10.0	4521.454456437334
11.0	4788.417257868556
12.0	5119.431783897084
13.0	5254.7655767575825
14.0	5341.221264027259
15.0	5444.105864884558
16.0	5580.350128186457
17.0	5839.19351617219
18.0	6127.048290152728
19.0	6272.172479155577
20.0	6448.746454408884
21.0	6576.820934995152
22.0	6664.914466776318
23.0	6643.239751814102
24.0	6673.330280469197
25.0	6712.454497234644
26.0	6778.275527743049
27.0	6782.497903238821
28.0	6769.076443407472
29.0	6800.259814381673
30.0	6779.1805658670455
31.0	6693.476785605468
32.0	6776.428699049723
33.0	6725.403448529041
34.0	6777.048559643451
35.0	6702.3247046428505
36.0	6691.074168565056
37.0	6644.6951569431
38.0	6621.547081908075
39.0	6582.112600305293
40.0	6493.6814037044805
41.0	6390.494591682472
42.0	6436.520169127693
43.0	6480.785399971894
44.0	6543.423760944525
45.0	6496.9577270881055
46.0	6413.00889414344
47.0	6367.801602631643
48.0	6420.809652987081
49.0	6382.666179634741
50.0	6282.7261970947275
51.0	6271.612852052636
52.0	6231.949795826622
53.0	6288.470458509169
54.0	6215.155508319761
55.0	6084.903123285588
56.0	5979.382789148317
57.0	6016.988254137364
58.0	6016.664103797588
59.0	6154.234921635322
60.0	6105.183436948858
61.0	5943.844118325748
62.0	5901.4620093011345
63.0	5824.584837100085
64.0	5775.069740087746
65.0	5697.0196084617155
66.0	5547.2839294665455
67.0	5428.964018040833
68.0	5365.59351719418
69.0	5338.424119854046
70.0	5253.591145202171
71.0	5211.264853586976
72.0	5151.906747126449
73.0	5139.217185047774
74.0	5036.9528133176
75.0	4947.504819437708
76.0	4854.102601901767
77.0	4736.288449540528
78.0	4667.111599903522
79.0	4588.230965801434
80.0	4508.429236911832
81.0	4386.010858330152
82.0	4165.071655429232
83.0	3988.477963371603
84.0	3897.752317455959
85.0	3690.7452329463654
86.0	3499.839578536181
87.0	3312.083627784705
88.0	3073.4421920033246
89.0	2835.430694661477
90.0	2542.1827735320517
91.0	2210.793701951052
92.0	1998.151947782381
93.0	1771.9786924568507
94.0	1388.0986354649701
95.0	1107.393272349704
96.0	859.7059466780549
97.0	621.981823821
98.0	307.1174348242548
99.0	75.68874485446631
