#Transcript position	Transcript coverage profile
0.0	4287.5685323392145
1.0	4301.168125511019
2.0	4457.438065901543
3.0	4736.958963311437
4.0	5182.424797060831
5.0	5510.860598440318
6.0	5890.022847884258
7.0	6315.337449185611
8.0	6585.699828812017
9.0	6783.638648925981
10.0	7050.996141929105
11.0	7346.035232982791
12.0	7716.398694251885
13.0	7890.48510080576
14.0	8033.420774019078
15.0	8173.56227389948
16.0	8346.409132864812
17.0	8639.729735369127
18.0	8957.35723611013
19.0	9108.391202453804
20.0	9307.836465203845
21.0	9485.10688815939
22.0	9607.007889443637
23.0	9601.612106207966
24.0	9628.599631295228
25.0	9673.592816205692
26.0	9744.826624877744
27.0	9763.662743096605
28.0	9774.61001000968
29.0	9793.798212897405
30.0	9785.556868645146
31.0	9740.977738934798
32.0	9839.775981682827
33.0	9779.391914932236
34.0	9827.59266454593
35.0	9766.740618302601
36.0	9773.677825579724
37.0	9739.136383476714
38.0	9726.49732853929
39.0	9688.060435433366
40.0	9593.866042559854
41.0	9498.174058118568
42.0	9545.3558562847
43.0	9604.174289653962
44.0	9685.833510070266
45.0	9659.560072455759
46.0	9584.202679476004
47.0	9522.63735476294
48.0	9563.66166275186
49.0	9520.740699985949
50.0	9429.199103417583
51.0	9437.583861708548
52.0	9407.293923915931
53.0	9486.339959998204
54.0	9438.488986689232
55.0	9311.894734033294
56.0	9206.050617683732
57.0	9262.009206390325
58.0	9264.286731037024
59.0	9395.278186508509
60.0	9339.247097923273
61.0	9173.07820369231
62.0	9133.653880227022
63.0	9067.412913877954
64.0	9010.179104867591
65.0	8936.175682324409
66.0	8797.664894604335
67.0	8688.355479718059
68.0	8633.068793239898
69.0	8606.6371674593
70.0	8504.385490120447
71.0	8444.29110629553
72.0	8383.992149948761
73.0	8363.109020276097
74.0	8279.081226813178
75.0	8194.1169201494
76.0	8099.935805390444
77.0	7980.592564340551
78.0	7911.369709315651
79.0	7843.121404267373
80.0	7772.969102038765
81.0	7644.968224331911
82.0	7413.038500961783
83.0	7242.235249122227
84.0	7139.804939085738
85.0	6938.744402787346
86.0	6729.273785710525
87.0	6510.27158141112
88.0	6227.3906317952615
89.0	5937.144642381437
90.0	5577.598575476138
91.0	5152.624729090481
92.0	4842.657948591857
93.0	4463.032547899414
94.0	3892.991174599416
95.0	3350.1749575259164
96.0	2784.767374192053
97.0	2116.0170506903214
98.0	1278.9173589663862
99.0	408.1003429191763
